id,disabled,seq,verify,update_time,create_time,playing_time,is_finished,user_id,video_id,course_id,first_finished_time,started_at,flag,new_course_id,course_video_length,new_started_at,new_started_at_UTC,next_started_at,rest_time
193,0,0,0,2024/12/21 4:46,2024/12/9 23:29,1288.87254,1,1004595,24395,1371,2024/12/10 0:34,2024/12/10 0:04,留,,,,,,
195,0,0,0,2024/12/21 5:37,2024/12/9 23:51,745.510091,1,1004595,24397,1369,2024/12/10 1:17,2024/12/10 0:47,留,,,,,,
197,0,0,0,2024/12/21 5:52,2024/12/10 0:07,1235.884528,1,1004595,24438,1368,2024/12/10 1:59,2024/12/10 1:29,留,,,,,,
201,1,0,0,2024/12/10 0:43,2024/12/10 0:30,773.11,1,1004595,24840,1367,2024/12/10 2:48,2024/12/10 2:18,留,,,,,,
207,0,0,0,2025/3/25 1:17,2024/12/10 0:55,1305.823129,1,1004595,24399,1366,2024/12/10 4:34,2024/12/10 4:04,留,,,,,,
217,0,0,0,2024/12/21 6:43,2024/12/10 1:18,912.940748,1,1004595,24401,1365,2024/12/10 5:17,2024/12/10 4:47,留,,,,,,
240,0,0,0,2024/12/21 7:08,2024/12/10 3:10,2299.523039,1,1004595,24403,1377,2024/12/10 6:01,2024/12/10 5:31,留,,,,,,
256,0,0,0,2024/12/21 7:24,2024/12/10 4:15,3280.75381,1,1004595,24405,1392,2024/12/10 7:15,2024/12/10 6:14,留,,,,,,
272,0,0,0,2024/12/21 7:29,2024/12/10 5:12,1311.76746,1,1004595,24407,1390,2024/12/10 8:26,2024/12/10 7:26,留,,,,,,
278,0,0,0,2025/3/25 1:38,2024/12/10 5:56,1433.34737,1,1004595,24409,1387,2024/12/13 1:51,2024/12/13 0:51,留,,,,,,
286,0,0,0,2025/3/25 1:39,2024/12/10 6:41,1330.343469,1,1004595,24411,1386,2024/12/13 2:59,2024/12/13 1:59,留,,,,,,
297,0,0,0,2025/3/25 1:39,2024/12/10 7:04,518.51184,1,1004595,24418,1384,2024/12/13 5:25,2024/12/13 4:25,留,,,,,,
307,0,0,0,2025/3/25 1:40,2024/12/10 7:54,1879.844762,1,1004595,24420,1382,2024/12/13 7:37,2024/12/13 6:37,留,,,,,,
319,0,0,0,2024/12/22 7:32,2024/12/10 8:26,4.174051,1,1004595,24422,1381,2024/12/16 6:18,2024/12/16 5:48,留,,,,,,
323,0,0,0,2024/12/22 7:43,2024/12/10 9:00,1741.63932,1,1004595,24424,1380,2024/12/16 7:41,2024/12/16 6:41,留,,,,,,
330,0,0,0,2024/12/22 7:53,2024/12/10 9:30,1896.841791,1,1004595,24426,1406,2024/12/16 8:54,2024/12/16 7:54,留,,,,,,
374,0,0,0,2024/12/23 11:47,2024/12/10 12:38,2290.885193,1,1004595,24428,1405,2024/12/17 5:22,2024/12/17 4:22,留,,,,,,
1011,0,0,0,2024/12/28 5:03,2024/12/14 2:22,2289.143696,1,1004595,24432,1403,2024/12/17 6:47,2024/12/17 5:46,留,,,,,,
1012,0,0,0,2024/12/28 6:03,2024/12/14 3:02,1024.419955,1,1004595,24434,1402,2024/12/17 8:12,2024/12/17 7:12,留,,,,,,
1013,0,0,0,2025/3/24 2:07,2024/12/14 3:21,8.268956,1,1004595,24620,1400,2024/12/20 1:04,2024/12/20 0:04,留,,,,,,
1017,0,0,0,2025/3/24 2:08,2024/12/14 4:04,1439.147021,1,1004595,24440,1398,2024/12/20 2:52,2024/12/20 1:52,留,,,,,,
1020,0,0,0,2024/12/28 7:07,2024/12/14 4:29,1191.838864,1,1004595,24442,1396,2024/12/20 6:14,2024/12/20 5:14,留,,,,,,
1022,0,0,0,2024/12/28 7:14,2024/12/14 5:19,1669.703764,1,1004595,24450,1395,2024/12/20 7:33,2024/12/20 6:33,留,,,,,,
1023,0,0,0,2024/12/28 7:21,2024/12/14 5:54,2592.350454,1,1004595,24452,1417,2024/12/20 8:25,2024/12/20 7:55,留,,,,,,
1024,0,0,0,2025/3/25 1:19,2024/12/14 6:48,1342.48941,1,1004595,24456,1415,2024/12/23 1:00,2024/12/23 0:00,留,,,,,,
1026,0,0,0,2025/3/25 1:19,2024/12/14 7:22,1709.384157,1,1004595,24458,1414,2024/12/23 2:00,2024/12/23 1:00,留,,,,,,
1027,0,0,0,2025/3/25 1:19,2024/12/14 8:09,1897.341505,1,1004595,24462,1412,2024/12/23 3:00,2024/12/23 2:00,留,,,,,,
1028,0,0,0,2025/3/24 2:10,2024/12/14 8:50,416.996372,1,1004595,24448,1410,2024/12/23 4:31,2024/12/23 4:01,留,,,,,,
1030,0,0,0,2024/12/29 5:42,2024/12/14 9:39,1892.918068,1,1004595,24454,1409,2024/12/23 5:14,2024/12/23 4:44,留,,,,,,
1033,0,0,0,2024/12/29 5:46,2024/12/14 11:47,1227.72971,1,1004595,24460,1383,2024/12/23 6:25,2024/12/23 5:24,留,,,,,,
1034,0,0,0,2024/12/29 9:04,2024/12/14 12:20,1753.271372,1,1004595,24464,1385,2024/12/23 7:39,2024/12/23 6:39,留,,,,,,
1035,0,0,0,2024/12/29 9:08,2024/12/14 13:00,1959.669263,1,1004595,24470,1388,2024/12/24 5:00,2024/12/24 4:00,留,,,,,,
1038,0,0,0,2024/12/29 9:08,2024/12/14 13:44,2684.758349,1,1004595,24472,1391,2024/12/24 6:17,2024/12/24 5:17,留,,,,,,
1041,0,0,0,2024/12/29 9:10,2024/12/15 0:42,1672.486056,1,1004595,24474,1407,2024/12/24 7:38,2024/12/24 6:38,留,,,,,,
1042,0,0,0,2025/5/14 6:51,2024/12/15 1:18,1787.911975,1,1004595,24572,1408,2024/12/25 1:03,2024/12/25 0:03,留,,,,,,
1044,0,0,0,2025/5/14 6:52,2024/12/15 2:00,2832.215129,1,1004595,24576,1411,2024/12/25 2:10,2024/12/25 1:10,留,,,,,,
1045,0,0,0,2024/12/30 5:47,2024/12/15 2:51,1588.556752,1,1004595,24578,1413,2024/12/25 5:40,2024/12/25 4:40,留,,,,,,
1046,0,0,0,2024/12/30 6:09,2024/12/15 3:36,1212.956523,1,1004595,24580,1416,2024/12/25 6:54,2024/12/25 5:53,留,,,,,,
1048,0,0,0,2024/12/30 6:11,2024/12/15 4:23,1021.958786,1,1004595,24582,1418,2024/12/25 8:06,2024/12/25 7:05,留,,,,,,
1054,0,0,0,2025/3/25 1:21,2024/12/15 6:06,2466.173442,1,1004595,24592,1419,2024/12/26 1:04,2024/12/26 0:04,留,,,,,,
1057,0,0,0,2025/3/25 1:21,2024/12/15 6:56,2610.542644,1,1004595,24594,1420,2024/12/26 1:40,2024/12/26 1:10,留,,,,,,
